   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000
   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000   1.00000
   1.00000   1.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000 -10.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
   1.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000   1.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000 -10.00000
